cluster_id,total_PRCSF,total_AI,total_PLA_AI,total_PLAN_AI,total_PLAAF_AI,total_PLARF_AI,total_PLAOther_AI,total_PAP_AI,total_MPS_AI,NP,growth_percent_5yr,growth_percent_3yr,citations_per_paper,ai_percent,nlp_percent,cv_percent,ro_percent,max_type,level1_mag,subject
25315,45,8,8,1,1,0,6,0,0,1030,-9.38,-23.68,29.35,2.33,0.19,0.1,0.0,Other,algorithm,"signals,number,method"
235,45,31,29,4,8,5,13,1,1,4776,0.3,21.61,38.84,25.5,0.02,0.29,0.13,AI/ML,artificial intelligence,"method,process,principal component analysis"
5747,45,14,14,4,0,0,10,0,0,2003,-31.08,-12.07,19.39,31.6,0.0,0.45,39.39,RO,control theory,"design,robot,results"
6604,45,11,11,5,0,1,5,0,0,2390,-23.08,-2.65,21.12,1.46,0.04,0.46,0.04,Other,geophysics,"data,depth,results"
81169,45,13,13,6,3,3,2,0,0,746,-74.58,-65.12,4.63,6.43,0.0,0.13,1.07,Other,computer hardware,"labview,data acquisition,数据采集"
32420,45,14,14,3,2,0,9,0,0,1118,-50.0,-43.18,13.35,9.57,0.09,0.63,0.0,Other,artificial intelligence,"projection pursuit,投影寻踪,data"
40894,45,1,1,0,0,0,1,0,0,1199,-52.17,-71.79,8.3,0.08,0.0,0.08,0.0,Other,internal medicine,"insomnia,health education,健康教育"
37926,45,15,14,1,0,0,13,0,1,1622,-26.53,-42.55,10.29,2.4,0.37,0.06,0.12,Other,data science,"citespace,知识图谱,visualization"
92810,45,5,5,0,1,1,3,0,0,421,-11.76,-21.05,7.69,0.24,0.0,0.24,0.0,Other,electronic engineering,"monopulse radar,radar,jamming"
43729,45,8,6,1,2,0,3,1,1,1223,-72.41,-66.32,4.57,8.42,0.0,2.62,0.49,Other,embedded system,"无线传感器网络,paper,system"
1483,45,1,1,0,0,0,1,0,0,2791,-6.42,-12.94,49.23,0.04,0.0,0.0,0.0,Other,internal medicine,"cells,study,disease"
41007,45,1,1,0,0,0,1,0,0,825,-68.0,-70.37,9.13,0.0,0.0,0.0,0.0,Other,internal medicine,"periodontitis,chronic periodontitis,牙周炎"
